Timestamp;Type;Name;Position;Rotation
43,08078;1;Main Camera;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,08078;1;Right Hand;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,08078;1;Left Hand;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,08078;1;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,08078;1;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,08078;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
43,12786;1;Main Camera;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,12786;1;Right Hand;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,12786;1;Left Hand;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,12786;1;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,12786;1;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,12786;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
43,17838;1;Main Camera;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,17838;1;Right Hand;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,17838;1;Left Hand;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,17838;1;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,17838;1;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,17838;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
43,22866;1;Main Camera;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,22866;1;Right Hand;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,22866;1;Left Hand;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,22866;1;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,22866;1;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,22866;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
43,2791;1;Main Camera;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,2791;1;Right Hand;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,2791;1;Left Hand;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,2791;1;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,2791;1;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,2791;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
43,33003;1;Main Camera;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,33003;1;Right Hand;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,33003;1;Left Hand;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,33003;1;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,33003;1;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,33003;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
43,38193;1;Main Camera;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,38193;1;Right Hand;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,38193;1;Left Hand;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
43,38193;1;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
