Timestamp;Type;Name;Position;Rotation
12,16398;1;Main Camera;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
12,16398;1;Right Hand;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
12,16398;1;Left Hand;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
12,16398;1;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
12,16398;1;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
12,16398;2;Cube;(0.00, 2.00, 5.60);(0.00, 0.00, 0.00)
14,87616;1;Main Camera;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
14,87616;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
14,87616;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
14,87616;1;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
14,87616;1;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
14,87616;2;Cube;(0.00, 0.70, 5.60);(0.00, 0.00, 0.00)
15,76873;1;Main Camera;(0.10, 0.69, -1.68);(5.41, 325.86, 3.02)
15,76873;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
15,76873;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
15,76873;1;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
15,76873;1;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
15,76873;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
16,16077;1;Main Camera;(0.11, 0.69, -1.67);(5.23, 328.58, 2.89)
16,16077;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
16,16077;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
16,16077;1;Right Controller;(0.08, 0.36, -1.49);(351.18, 319.39, 356.74)
16,16077;1;Left Controller;(-0.07, 0.38, -1.53);(351.65, 329.05, 6.41)
16,16077;2;Cube;(0.00, 0.50, 5.60);(0.00, 0.00, 0.00)
16,66497;1;Main Camera;(0.13, 0.69, -1.66);(2.80, 347.65, 3.48)
16,66497;1;Right Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
16,66497;1;Left Hand;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
16,66497;1;Right Controller;(0.14, 0.36, -1.43);(352.74, 339.22, 349.36)
