Timestamp;Name;Position;Rotation;Grabbed
25,05538;Right Hand Presence Physics;(0.00, 0.38, 4.98);(325.36, 12.12, 349.58)
25,05538;Left Hand Presence Physics;(-0.14, 0.34, 5.06);(337.94, 17.43, 23.94)
25,05538;Right Hand Presence Physics;(0.00, 0.38, 4.98);(325.36, 12.12, 349.58)
25,05538;Left Hand Presence Physics;(-0.14, 0.34, 5.06);(337.94, 17.43, 23.94)
25,05538;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
25,05538;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
25,55257;Right Hand Presence Physics;(-0.01, 0.38, 4.98);(326.27, 10.88, 350.64)
25,55257;Left Hand Presence Physics;(-0.13, 0.34, 5.06);(336.94, 20.73, 22.78)
25,55257;Right Hand Presence Physics;(-0.01, 0.38, 4.98);(326.27, 10.88, 350.64)
25,55257;Left Hand Presence Physics;(-0.13, 0.34, 5.06);(336.94, 20.73, 22.78)
25,55257;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
25,55257;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
26,05402;Right Hand Presence Physics;(0.00, 0.37, 4.99);(329.76, 15.52, 351.06)
26,05402;Left Hand Presence Physics;(-0.13, 0.34, 5.05);(336.97, 21.08, 21.46)
26,05402;Right Hand Presence Physics;(0.00, 0.37, 4.99);(329.76, 15.52, 351.06)
26,05402;Left Hand Presence Physics;(-0.13, 0.34, 5.05);(336.97, 21.08, 21.46)
26,05402;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
26,05402;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
26,55501;Right Hand Presence Physics;(0.00, 0.37, 4.99);(330.32, 18.52, 349.82)
26,55501;Left Hand Presence Physics;(-0.13, 0.34, 5.06);(340.31, 17.68, 22.50)
26,55501;Right Hand Presence Physics;(0.00, 0.37, 4.99);(330.32, 18.52, 349.82)
26,55501;Left Hand Presence Physics;(-0.13, 0.34, 5.06);(340.31, 17.68, 22.50)
26,55501;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
26,55501;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
27,0556;Right Hand Presence Physics;(0.01, 0.34, 5.01);(341.69, 16.19, 351.03)
27,0556;Left Hand Presence Physics;(-0.13, 0.33, 5.07);(344.08, 17.17, 20.25)
27,0556;Right Hand Presence Physics;(0.01, 0.34, 5.01);(341.69, 16.19, 351.03)
27,0556;Left Hand Presence Physics;(-0.13, 0.33, 5.07);(344.08, 17.17, 20.25)
27,0556;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
27,0556;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
27,55715;Right Hand Presence Physics;(0.01, 0.34, 5.03);(340.68, 15.21, 351.69)
27,55715;Left Hand Presence Physics;(-0.12, 0.32, 5.09);(342.55, 18.42, 18.89)
27,55715;Right Hand Presence Physics;(0.01, 0.34, 5.03);(340.68, 15.21, 351.69)
27,55715;Left Hand Presence Physics;(-0.12, 0.32, 5.09);(342.55, 18.42, 18.89)
27,55715;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
27,55715;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
28,05887;Right Hand Presence Physics;(0.05, 0.36, 5.38);(281.48, 100.63, 179.23)
28,05887;Left Hand Presence Physics;(-0.10, 0.33, 5.39);(273.79, 164.18, 305.74)
28,05887;Right Hand Presence Physics;(0.05, 0.36, 5.38);(281.48, 100.63, 179.23)
28,05887;Left Hand Presence Physics;(-0.10, 0.33, 5.39);(273.79, 164.18, 305.74)
28,05887;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
28,05887;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
28,55958;Right Hand Presence Physics;(0.00, 0.41, 5.37);(282.16, 253.91, 29.21)
28,55958;Left Hand Presence Physics;(-0.12, 0.33, 5.39);(297.59, 261.31, 210.98)
28,55958;Right Hand Presence Physics;(0.00, 0.41, 5.37);(282.16, 253.91, 29.21)
28,55958;Left Hand Presence Physics;(-0.12, 0.33, 5.39);(297.59, 261.31, 210.98)
28,55958;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
28,55958;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
29,06116;Right Hand Presence Physics;(-0.04, 0.41, 5.38);(317.62, 267.14, 11.63)
29,06116;Left Hand Presence Physics;(-0.22, 0.47, 5.37);(317.99, 98.22, 344.54)
29,06116;Right Hand Presence Physics;(-0.04, 0.41, 5.38);(317.62, 267.14, 11.63)
29,06116;Left Hand Presence Physics;(-0.22, 0.47, 5.37);(317.99, 98.22, 344.54)
29,06116;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
29,06116;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
29,56256;Right Hand Presence Physics;(0.02, 0.48, 5.37);(315.65, 283.09, 13.10)
29,56256;Left Hand Presence Physics;(-0.27, 0.54, 5.38);(302.41, 100.14, 343.68)
29,56256;Right Hand Presence Physics;(0.02, 0.48, 5.37);(315.65, 283.09, 13.10)
29,56256;Left Hand Presence Physics;(-0.27, 0.54, 5.38);(302.41, 100.14, 343.68)
29,56256;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
29,56256;Metal Cube;(0.17, 0.55, 5.60);(0.00, 0.00, 0.00);False
30,06374;Right Hand Presence Physics;(0.12, 0.54, 5.34);(309.02, 22.06, 358.37)
30,06374;Left Hand Presence Physics;(-0.24, 0.56, 5.39);(302.37, 357.92, 54.26)
30,06374;Right Hand Presence Physics;(0.12, 0.54, 5.34);(309.02, 22.06, 358.37)
