Timestamp;Name;Position;Rotation;Grabbed
18,51692;Right Hand Presence Physics;(-0.57, 0.65, 4.66);(345.95, 346.25, 349.19)
18,51692;Left Hand Presence Physics;(-0.01, 0.47, 4.21);(8.17, 160.43, 314.46)
18,51692;Right Hand Presence Physics;(-0.57, 0.65, 4.66);(345.95, 346.25, 349.19)
18,51692;Left Hand Presence Physics;(-0.01, 0.47, 4.21);(8.17, 160.43, 314.46)
18,51692;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
19,01842;Right Hand Presence Physics;(-0.56, 0.64, 4.67);(351.38, 351.49, 348.54)
19,01842;Left Hand Presence Physics;(-0.01, 0.47, 4.21);(8.17, 160.43, 314.46)
19,01842;Right Hand Presence Physics;(-0.56, 0.64, 4.67);(351.38, 351.49, 348.54)
19,01842;Left Hand Presence Physics;(-0.01, 0.47, 4.21);(8.17, 160.43, 314.46)
19,01842;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
19,51985;Right Hand Presence Physics;(-0.56, 0.64, 4.67);(352.81, 352.61, 348.85)
19,51985;Left Hand Presence Physics;(-0.01, 0.47, 4.21);(8.17, 160.43, 314.46)
19,51985;Right Hand Presence Physics;(-0.56, 0.64, 4.67);(352.81, 352.61, 348.85)
19,51985;Left Hand Presence Physics;(-0.01, 0.47, 4.21);(8.17, 160.43, 314.46)
19,51985;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
20,03252;Right Hand Presence Physics;(-0.56, 0.64, 4.67);(350.54, 350.25, 346.34)
20,03252;Left Hand Presence Physics;(-0.01, 0.47, 4.21);(8.17, 160.43, 314.46)
20,03252;Right Hand Presence Physics;(-0.56, 0.64, 4.67);(350.54, 350.25, 346.34)
20,03252;Left Hand Presence Physics;(-0.01, 0.47, 4.21);(8.17, 160.43, 314.46)
20,03252;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
