Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0,5068693;Right Hand Presence Physics;(0.07, 0.25, -0.06);(1.09, 1.39, 352.36)
0,5068693;Left Hand Presence Physics;(-0.04, 1.40, 0.00);(358.01, 24.17, 302.73)
0,5068693;Right Hand Presence Physics;(0.07, 0.25, -0.06);(1.09, 1.39, 352.36)
0,5068693;Left Hand Presence Physics;(-0.04, 1.40, 0.00);(358.01, 24.17, 302.73)
0,5068693;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,5068693;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,013411;Right Hand Presence Physics;(0.04, 1.39, 0.01);(28.69, 101.82, 275.29)
1,013411;Left Hand Presence Physics;(-0.01, 1.36, 0.01);(42.64, 55.86, 164.99)
1,013411;Right Hand Presence Physics;(0.04, 1.39, 0.01);(28.69, 101.82, 275.29)
1,013411;Left Hand Presence Physics;(-0.01, 1.36, 0.01);(42.64, 55.86, 164.99)
1,013411;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,013411;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,521421;Right Hand Presence Physics;(-0.04, 1.37, -0.05);(11.11, 342.73, 316.58)
1,521421;Left Hand Presence Physics;(0.03, 0.81, -0.23);(352.44, 34.91, 323.03)
1,521421;Right Hand Presence Physics;(-0.04, 1.37, -0.05);(11.11, 342.73, 316.58)
1,521421;Left Hand Presence Physics;(0.03, 0.81, -0.23);(352.44, 34.91, 323.03)
1,521421;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,521421;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,029697;Right Hand Presence Physics;(-0.07, 0.79, -0.14);(22.42, 310.28, 33.18)
2,029697;Left Hand Presence Physics;(0.03, 0.81, -0.23);(354.15, 35.48, 322.82)
2,029697;Right Hand Presence Physics;(-0.07, 0.79, -0.14);(22.42, 310.28, 33.18)
2,029697;Left Hand Presence Physics;(0.03, 0.81, -0.23);(354.15, 35.48, 322.82)
2,029697;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,029697;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,531644;Right Hand Presence Physics;(-0.07, 0.79, -0.14);(22.87, 311.29, 35.11)
2,531644;Left Hand Presence Physics;(0.03, 0.80, -0.23);(353.77, 36.63, 322.56)
2,531644;Right Hand Presence Physics;(-0.07, 0.79, -0.14);(22.87, 311.29, 35.11)
2,531644;Left Hand Presence Physics;(0.03, 0.80, -0.23);(353.77, 36.63, 322.56)
2,531644;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,531644;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,033612;Right Hand Presence Physics;(-0.08, 0.79, -0.15);(18.78, 311.97, 39.90)
3,033612;Left Hand Presence Physics;(0.03, 0.80, -0.23);(358.65, 42.07, 318.10)
3,033612;Right Hand Presence Physics;(-0.08, 0.79, -0.15);(18.78, 311.97, 39.90)
3,033612;Left Hand Presence Physics;(0.03, 0.80, -0.23);(358.65, 42.07, 318.10)
3,033612;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
3,033612;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,535718;Right Hand Presence Physics;(-0.09, 0.77, -0.14);(27.07, 309.94, 51.47)
3,535718;Left Hand Presence Physics;(0.03, 0.81, -0.23);(352.70, 35.54, 323.26)
3,535718;Right Hand Presence Physics;(-0.09, 0.77, -0.14);(27.07, 309.94, 51.47)
3,535718;Left Hand Presence Physics;(0.03, 0.81, -0.23);(352.70, 35.54, 323.26)
3,535718;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
3,535718;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
4,037177;Right Hand Presence Physics;(-0.11, 0.97, -0.12);(7.88, 291.28, 5.52)
4,037177;Left Hand Presence Physics;(0.03, 0.81, -0.23);(350.02, 34.87, 320.48)
4,037177;Right Hand Presence Physics;(-0.11, 0.97, -0.12);(7.88, 291.28, 5.52)
4,037177;Left Hand Presence Physics;(0.03, 0.81, -0.23);(350.02, 34.87, 320.48)
4,037177;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
4,037177;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
4,538739;Right Hand Presence Physics;(-0.12, 1.05, -0.10);(9.95, 307.51, 339.67)
4,538739;Left Hand Presence Physics;(0.02, 0.81, -0.24);(347.52, 35.55, 317.95)
4,538739;Right Hand Presence Physics;(-0.12, 1.05, -0.10);(9.95, 307.51, 339.67)
4,538739;Left Hand Presence Physics;(0.02, 0.81, -0.24);(347.52, 35.55, 317.95)
4,538739;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
4,538739;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
5,040379;Right Hand Presence Physics;(-0.16, 1.23, -0.12);(328.96, 305.47, 313.49)
5,040379;Left Hand Presence Physics;(-0.13, 0.93, -0.30);(48.68, 10.81, 308.15)
5,040379;Right Hand Presence Physics;(-0.16, 1.23, -0.12);(328.96, 305.47, 313.49)
5,040379;Left Hand Presence Physics;(-0.13, 0.93, -0.30);(48.68, 10.81, 308.15)
5,040379;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
5,040379;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
5,541666;Right Hand Presence Physics;(-0.23, 1.14, -0.17);(335.56, 284.92, 328.70)
5,541666;Left Hand Presence Physics;(-0.34, 1.02, -0.52);(55.54, 14.54, 342.48)
5,541666;Right Hand Presence Physics;(-0.23, 1.14, -0.17);(335.56, 284.92, 328.70)
5,541666;Left Hand Presence Physics;(-0.34, 1.02, -0.52);(55.54, 14.54, 342.48)
5,541666;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
5,541666;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
6,042891;Right Hand Presence Physics;(-0.26, 1.11, -0.15);(334.93, 303.91, 334.94)
6,042891;Left Hand Presence Physics;(-0.38, 1.11, -0.34);(340.75, 332.10, 29.10)
6,042891;Right Hand Presence Physics;(-0.26, 1.11, -0.15);(334.93, 303.91, 334.94)
6,042891;Left Hand Presence Physics;(-0.38, 1.11, -0.34);(340.75, 332.10, 29.10)
6,042891;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
6,042891;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
6,544276;Right Hand Presence Physics;(-0.29, 1.10, -0.15);(334.08, 302.34, 333.75)
6,544276;Left Hand Presence Physics;(-0.41, 1.10, -0.33);(342.77, 336.26, 36.09)
6,544276;Right Hand Presence Physics;(-0.29, 1.10, -0.15);(334.08, 302.34, 333.75)
6,544276;Left Hand Presence Physics;(-0.41, 1.10, -0.33);(342.77, 336.26, 36.09)
6,544276;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
6,544276;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
7,045341;Right Hand Presence Physics;(-0.86, 1.09, 0.65);(332.05, 309.17, 339.30)
7,045341;Left Hand Presence Physics;(-0.96, 1.09, 0.46);(328.78, 328.06, 6.23)
7,045341;Right Hand Presence Physics;(-0.86, 1.09, 0.65);(332.05, 309.17, 339.30)
7,045341;Left Hand Presence Physics;(-0.96, 1.09, 0.46);(328.78, 328.06, 6.23)
7,045341;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
7,045341;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
7,546521;Right Hand Presence Physics;(-0.40, 1.09, 0.00);(330.85, 129.85, 334.63)
7,546521;Left Hand Presence Physics;(-0.26, 1.09, 0.22);(324.07, 145.32, 7.92)
7,546521;Right Hand Presence Physics;(-0.40, 1.09, 0.00);(330.85, 129.85, 334.63)
7,546521;Left Hand Presence Physics;(-0.26, 1.09, 0.22);(324.07, 145.32, 7.92)
7,546521;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
7,546521;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
8,048163;Right Hand Presence Physics;(-0.30, 1.09, -0.05);(331.72, 129.58, 335.15)
8,048163;Left Hand Presence Physics;(-0.16, 1.09, 0.17);(323.55, 144.95, 8.90)
8,048163;Right Hand Presence Physics;(-0.30, 1.09, -0.05);(331.72, 129.58, 335.15)
8,048163;Left Hand Presence Physics;(-0.16, 1.09, 0.17);(323.55, 144.95, 8.90)
8,048163;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
8,048163;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
8,549266;Right Hand Presence Physics;(-0.13, 1.10, 0.20);(330.92, 87.81, 333.49)
8,549266;Left Hand Presence Physics;(-0.19, 1.09, 0.47);(324.16, 98.05, 10.83)
8,549266;Right Hand Presence Physics;(-0.13, 1.10, 0.20);(330.92, 87.81, 333.49)
8,549266;Left Hand Presence Physics;(-0.19, 1.09, 0.47);(324.16, 98.05, 10.83)
8,549266;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
8,549266;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
9,050746;Right Hand Presence Physics;(-0.18, 1.10, 0.52);(331.10, 41.55, 339.73)
9,050746;Left Hand Presence Physics;(-0.41, 1.09, 0.67);(323.71, 52.74, 10.15)
9,050746;Right Hand Presence Physics;(-0.18, 1.10, 0.52);(331.10, 41.55, 339.73)
9,050746;Left Hand Presence Physics;(-0.41, 1.09, 0.67);(323.71, 52.74, 10.15)
9,050746;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
9,050746;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
9,551678;Right Hand Presence Physics;(-0.04, 1.09, 0.81);(330.56, 39.39, 339.01)
9,551678;Left Hand Presence Physics;(-0.26, 1.09, 0.95);(321.64, 52.21, 9.63)
9,551678;Right Hand Presence Physics;(-0.04, 1.09, 0.81);(330.56, 39.39, 339.01)
9,551678;Left Hand Presence Physics;(-0.26, 1.09, 0.95);(321.64, 52.21, 9.63)
9,551678;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
9,551678;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
10,05274;Right Hand Presence Physics;(-0.72, 1.09, 2.17);(331.11, 354.23, 336.59)
10,05274;Left Hand Presence Physics;(-0.98, 1.09, 2.11);(321.73, 6.63, 5.88)
10,05274;Right Hand Presence Physics;(-0.72, 1.09, 2.17);(331.11, 354.23, 336.59)
10,05274;Left Hand Presence Physics;(-0.98, 1.09, 2.11);(321.73, 6.63, 5.88)
10,05274;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
10,05274;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
10,55453;Right Hand Presence Physics;(-0.13, 1.09, 3.27);(331.93, 354.78, 335.36)
10,55453;Left Hand Presence Physics;(-0.40, 1.10, 3.21);(322.08, 5.60, 7.70)
10,55453;Right Hand Presence Physics;(-0.13, 1.09, 3.27);(331.93, 354.78, 335.36)
10,55453;Left Hand Presence Physics;(-0.40, 1.10, 3.21);(322.08, 5.60, 7.70)
10,55453;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
10,55453;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
11,05535;Right Hand Presence Physics;(0.21, 1.10, 4.46);(331.28, 352.06, 334.95)
11,05535;Left Hand Presence Physics;(-0.10, 1.12, 4.38);(322.48, 3.16, 5.02)
11,05535;Right Hand Presence Physics;(0.21, 1.10, 4.46);(331.28, 352.06, 334.95)
11,05535;Left Hand Presence Physics;(-0.10, 1.12, 4.38);(322.48, 3.16, 5.02)
11,05535;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
11,05535;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
11,55697;Right Hand Presence Physics;(0.38, 1.10, 5.59);(331.30, 346.84, 338.89)
