Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
0,5043412;Right Hand Presence Physics;(0.12, 1.27, -0.12);(24.29, 263.42, 63.26)
0,5043412;Left Hand Presence Physics;(-0.05, 0.22, -0.04);(359.78, 358.19, 1.47)
0,5043412;Right Hand Presence Physics;(0.12, 1.27, -0.12);(24.29, 263.42, 63.26)
0,5043412;Left Hand Presence Physics;(-0.05, 0.22, -0.04);(359.78, 358.19, 1.47)
0,5043412;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,5043412;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
0,5043412;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
1,111966;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(334.86, 22.26, 332.06)
1,111966;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.14, 28.89, 30.47)
1,111966;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(334.86, 22.26, 332.06)
1,111966;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.14, 28.89, 30.47)
1,111966;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,111966;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,111966;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
1,62408;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.20, 21.55, 332.31)
1,62408;Left Hand Presence Physics;(0.05, 1.38, -0.03);(355.67, 28.44, 31.34)
1,62408;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.20, 21.55, 332.31)
1,62408;Left Hand Presence Physics;(0.05, 1.38, -0.03);(355.67, 28.44, 31.34)
1,62408;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,62408;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,62408;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
2,126383;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.20, 21.55, 332.31)
2,126383;Left Hand Presence Physics;(0.05, 1.38, -0.03);(355.67, 28.44, 31.34)
2,126383;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.20, 21.55, 332.31)
2,126383;Left Hand Presence Physics;(0.05, 1.38, -0.03);(355.67, 28.44, 31.34)
2,126383;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,126383;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,126383;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
2,628058;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.20, 21.55, 332.31)
2,628058;Left Hand Presence Physics;(0.05, 1.38, -0.03);(355.67, 28.44, 31.34)
2,628058;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.20, 21.55, 332.31)
2,628058;Left Hand Presence Physics;(0.05, 1.38, -0.03);(355.67, 28.44, 31.34)
2,628058;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,628058;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,628058;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
3,141941;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.20, 21.55, 332.31)
3,141941;Left Hand Presence Physics;(0.05, 1.38, -0.03);(355.67, 28.44, 31.34)
3,141941;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.20, 21.55, 332.31)
3,141941;Left Hand Presence Physics;(0.05, 1.38, -0.03);(355.67, 28.44, 31.34)
3,141941;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
3,141941;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,141941;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
3,643689;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(336.20, 21.55, 332.31)
