Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
0,5013351;Right Hand Presence Physics;(0.07, 0.25, -0.06);(1.11, 1.37, 352.43)
0,5013351;Left Hand Presence Physics;(-0.27, 1.15, -0.32);(9.38, 29.97, 321.90)
0,5013351;Right Hand Presence Physics;(0.07, 0.25, -0.06);(1.11, 1.37, 352.43)
0,5013351;Left Hand Presence Physics;(-0.27, 1.15, -0.32);(9.38, 29.97, 321.90)
0,5013351;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,5013351;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
0,5013351;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
1,002303;Right Hand Presence Physics;(0.03, 1.39, 0.04);(16.01, 92.48, 317.09)
1,002303;Left Hand Presence Physics;(-0.03, 1.36, 0.00);(49.22, 5.80, 163.83)
1,002303;Right Hand Presence Physics;(0.03, 1.39, 0.04);(16.01, 92.48, 317.09)
1,002303;Left Hand Presence Physics;(-0.03, 1.36, 0.00);(49.22, 5.80, 163.83)
1,002303;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,002303;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,002303;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
1,50342;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.44, 20.00, 332.80)
1,50342;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.58, 26.29, 27.38)
1,50342;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.44, 20.00, 332.80)
1,50342;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.58, 26.29, 27.38)
1,50342;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,50342;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,50342;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
2,00479;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.10, 19.98, 332.82)
2,00479;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.67, 26.48, 27.33)
2,00479;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.10, 19.98, 332.82)
2,00479;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.67, 26.48, 27.33)
2,00479;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,00479;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,00479;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
2,50607;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.10, 19.98, 332.82)
2,50607;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.67, 26.48, 27.33)
2,50607;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.10, 19.98, 332.82)
2,50607;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.67, 26.48, 27.33)
2,50607;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,50607;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,50607;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
3,00727;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.10, 19.98, 332.82)
3,00727;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.67, 26.48, 27.33)
3,00727;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.10, 19.98, 332.82)
3,00727;Left Hand Presence Physics;(0.05, 1.38, -0.03);(357.67, 26.48, 27.33)
