Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0,5574339;Right Hand Presence Physics;(0.06, 0.09, 0.00);(351.50, 25.06, 305.80)
0,5574339;Left Hand Presence Physics;(-0.07, 0.08, 0.00);(352.86, 338.93, 85.46)
0,5574339;Right Hand Presence Physics;(0.06, 0.09, 0.00);(351.50, 25.06, 305.80)
0,5574339;Left Hand Presence Physics;(-0.07, 0.08, 0.00);(352.86, 338.93, 85.46)
0,5574339;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
0,5574339;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
0,5574339;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,063149;Right Hand Presence Physics;(0.06, 0.09, 0.00);(351.60, 7.06, 304.64)
1,063149;Left Hand Presence Physics;(-0.06, 0.06, -0.01);(355.78, 339.27, 116.31)
1,063149;Right Hand Presence Physics;(0.06, 0.09, 0.00);(351.60, 7.06, 304.64)
1,063149;Left Hand Presence Physics;(-0.06, 0.06, -0.01);(355.78, 339.27, 116.31)
1,063149;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,063149;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
1,063149;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
1,563928;Right Hand Presence Physics;(0.06, 0.09, 0.01);(351.35, 8.18, 304.74)
1,563928;Left Hand Presence Physics;(-0.06, 0.06, 0.00);(356.13, 343.92, 111.87)
1,563928;Right Hand Presence Physics;(0.06, 0.09, 0.01);(351.35, 8.18, 304.74)
1,563928;Left Hand Presence Physics;(-0.06, 0.06, 0.00);(356.13, 343.92, 111.87)
1,563928;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
1,563928;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
1,563928;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,064707;Right Hand Presence Physics;(0.06, 0.09, 0.01);(350.55, 8.57, 304.74)
2,064707;Left Hand Presence Physics;(-0.06, 0.06, -0.01);(355.99, 343.72, 114.85)
2,064707;Right Hand Presence Physics;(0.06, 0.09, 0.01);(350.55, 8.57, 304.74)
2,064707;Left Hand Presence Physics;(-0.06, 0.06, -0.01);(355.99, 343.72, 114.85)
2,064707;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,064707;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
2,064707;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
2,618951;Right Hand Presence Physics;(0.06, 0.09, 0.01);(350.55, 8.58, 304.74)
2,618951;Left Hand Presence Physics;(-0.06, 0.06, -0.01);(355.99, 343.73, 114.85)
2,618951;Right Hand Presence Physics;(0.06, 0.09, 0.01);(350.55, 8.58, 304.74)
2,618951;Left Hand Presence Physics;(-0.06, 0.06, -0.01);(355.99, 343.73, 114.85)
2,618951;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
2,618951;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
2,618951;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
3,129358;Right Hand Presence Physics;(0.06, 0.09, 0.01);(350.56, 8.51, 304.71)
3,129358;Left Hand Presence Physics;(-0.06, 0.06, -0.01);(355.99, 343.63, 114.83)
3,129358;Right Hand Presence Physics;(0.06, 0.09, 0.01);(350.56, 8.51, 304.71)
3,129358;Left Hand Presence Physics;(-0.06, 0.06, -0.01);(355.99, 343.63, 114.83)
3,129358;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,129358;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
3,129358;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
3,631209;Right Hand Presence Physics;(0.06, 0.09, 0.01);(350.56, 8.50, 304.71)
3,631209;Left Hand Presence Physics;(-0.06, 0.06, -0.01);(355.99, 343.63, 114.83)
3,631209;Right Hand Presence Physics;(0.06, 0.09, 0.01);(350.56, 8.50, 304.71)
3,631209;Left Hand Presence Physics;(-0.06, 0.06, -0.01);(355.99, 343.63, 114.83)
3,631209;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
3,631209;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
3,631209;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
4,133055;Right Hand Presence Physics;(0.00, 0.08, 0.00);(358.58, 352.03, 275.22)
4,133055;Left Hand Presence Physics;(-0.51, 0.76, -0.21);(350.49, 315.34, 42.13)
4,133055;Right Hand Presence Physics;(0.00, 0.08, 0.00);(358.58, 352.03, 275.22)
4,133055;Left Hand Presence Physics;(-0.51, 0.76, -0.21);(350.49, 315.34, 42.13)
4,133055;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
4,133055;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
4,133055;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
4,634994;Right Hand Presence Physics;(-0.40, 0.76, 0.00);(344.31, 282.06, 332.95)
4,634994;Left Hand Presence Physics;(-0.49, 0.74, -0.23);(333.74, 295.43, 19.70)
4,634994;Right Hand Presence Physics;(-0.40, 0.76, 0.00);(344.31, 282.06, 332.95)
4,634994;Left Hand Presence Physics;(-0.49, 0.74, -0.23);(333.74, 295.43, 19.70)
4,634994;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
4,634994;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
4,634994;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
5,136612;Right Hand Presence Physics;(-0.38, 0.76, 0.02);(330.87, 294.51, 345.04)
5,136612;Left Hand Presence Physics;(-0.49, 0.73, -0.22);(339.47, 301.92, 23.55)
5,136612;Right Hand Presence Physics;(-0.38, 0.76, 0.02);(330.87, 294.51, 345.04)
5,136612;Left Hand Presence Physics;(-0.49, 0.73, -0.22);(339.47, 301.92, 23.55)
5,136612;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
5,136612;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
5,136612;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
5,638242;Right Hand Presence Physics;(-0.34, 0.78, 0.10);(326.39, 299.07, 328.66)
5,638242;Left Hand Presence Physics;(-0.47, 0.76, -0.24);(334.24, 313.60, 24.62)
5,638242;Right Hand Presence Physics;(-0.34, 0.78, 0.10);(326.39, 299.07, 328.66)
5,638242;Left Hand Presence Physics;(-0.47, 0.76, -0.24);(334.24, 313.60, 24.62)
5,638242;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
5,638242;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
5,638242;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
6,139558;Right Hand Presence Physics;(-0.31, 0.80, 0.09);(319.67, 300.76, 331.21)
6,139558;Left Hand Presence Physics;(-0.46, 0.75, -0.22);(332.33, 312.21, 16.66)
6,139558;Right Hand Presence Physics;(-0.31, 0.80, 0.09);(319.67, 300.76, 331.21)
6,139558;Left Hand Presence Physics;(-0.46, 0.75, -0.22);(332.33, 312.21, 16.66)
6,139558;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
6,139558;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
6,139558;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
6,640825;Right Hand Presence Physics;(-0.02, 0.80, 0.19);(320.50, 344.41, 333.36)
6,640825;Left Hand Presence Physics;(-0.34, 0.77, 0.06);(327.65, 355.44, 16.21)
6,640825;Right Hand Presence Physics;(-0.02, 0.80, 0.19);(320.50, 344.41, 333.36)
6,640825;Left Hand Presence Physics;(-0.34, 0.77, 0.06);(327.65, 355.44, 16.21)
6,640825;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
6,640825;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
6,640825;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
7,142296;Right Hand Presence Physics;(0.16, 0.81, 0.55);(320.80, 348.63, 330.26)
7,142296;Left Hand Presence Physics;(-0.20, 0.78, 0.40);(324.18, 356.50, 10.20)
7,142296;Right Hand Presence Physics;(0.16, 0.81, 0.55);(320.80, 348.63, 330.26)
7,142296;Left Hand Presence Physics;(-0.20, 0.78, 0.40);(324.18, 356.50, 10.20)
