Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
0,5061336;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
0,5061336;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
0,5061336;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
0,5061336;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
0,5061336;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,096188;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
1,096188;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
1,096188;Right Hand Presence Physics;(0.02, 0.07, 0.00);(332.89, 3.75, 25.95)
1,096188;Left Hand Presence Physics;(-0.02, 0.08, 0.01);(354.42, 352.91, 77.43)
1,096188;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,597994;Right Hand Presence Physics;(-0.13, 0.25, 0.09);(324.13, 353.59, 13.49)
1,597994;Left Hand Presence Physics;(-0.16, 0.31, 0.03);(351.55, 350.30, 72.15)
1,597994;Right Hand Presence Physics;(-0.13, 0.25, 0.09);(324.13, 353.59, 13.49)
1,597994;Left Hand Presence Physics;(-0.16, 0.31, 0.03);(351.55, 350.30, 72.15)
1,597994;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,098714;Right Hand Presence Physics;(-0.37, 0.72, 0.28);(338.83, 268.06, 338.05)
2,098714;Left Hand Presence Physics;(-0.35, 0.72, 0.03);(332.19, 278.05, 6.57)
2,098714;Right Hand Presence Physics;(-0.37, 0.72, 0.28);(338.83, 268.06, 338.05)
2,098714;Left Hand Presence Physics;(-0.35, 0.72, 0.03);(332.19, 278.05, 6.57)
2,098714;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,607822;Right Hand Presence Physics;(-0.15, 0.73, 0.51);(337.59, 313.70, 337.75)
2,607822;Left Hand Presence Physics;(-0.32, 0.72, 0.33);(331.74, 323.00, 6.43)
2,607822;Right Hand Presence Physics;(-0.15, 0.73, 0.51);(337.59, 313.70, 337.75)
2,607822;Left Hand Presence Physics;(-0.32, 0.72, 0.33);(331.74, 323.00, 6.43)
2,607822;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,110036;Right Hand Presence Physics;(0.17, 0.73, 0.53);(337.47, 357.98, 337.97)
3,110036;Left Hand Presence Physics;(-0.08, 0.72, 0.51);(329.00, 13.04, 5.25)
3,110036;Right Hand Presence Physics;(0.17, 0.73, 0.53);(337.47, 357.98, 337.97)
3,110036;Left Hand Presence Physics;(-0.08, 0.72, 0.51);(329.00, 13.04, 5.25)
3,110036;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,6118;Right Hand Presence Physics;(0.08, 0.73, 1.49);(336.40, 0.28, 338.36)
3,6118;Left Hand Presence Physics;(-0.18, 0.73, 1.47);(325.54, 10.69, 4.26)
3,6118;Right Hand Presence Physics;(0.08, 0.73, 1.49);(336.40, 0.28, 338.36)
3,6118;Left Hand Presence Physics;(-0.18, 0.73, 1.47);(325.54, 10.69, 4.26)
3,6118;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4,112932;Right Hand Presence Physics;(0.46, 0.73, 2.61);(336.57, 358.68, 338.86)
4,112932;Left Hand Presence Physics;(0.20, 0.73, 2.60);(325.31, 7.92, 7.78)
4,112932;Right Hand Presence Physics;(0.46, 0.73, 2.61);(336.57, 358.68, 338.86)
4,112932;Left Hand Presence Physics;(0.20, 0.73, 2.60);(325.31, 7.92, 7.78)
4,112932;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4,614961;Right Hand Presence Physics;(0.45, 0.73, 3.86);(336.40, 358.68, 339.33)
4,614961;Left Hand Presence Physics;(0.19, 0.73, 3.85);(324.97, 7.37, 7.89)
4,614961;Right Hand Presence Physics;(0.45, 0.73, 3.86);(336.40, 358.68, 339.33)
4,614961;Left Hand Presence Physics;(0.19, 0.73, 3.85);(324.97, 7.37, 7.89)
4,614961;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
5,116288;Right Hand Presence Physics;(0.45, 0.73, 5.10);(336.39, 358.48, 339.65)
5,116288;Left Hand Presence Physics;(0.18, 0.73, 5.09);(327.03, 4.46, 8.59)
5,116288;Right Hand Presence Physics;(0.45, 0.73, 5.10);(336.39, 358.48, 339.65)
5,116288;Left Hand Presence Physics;(0.18, 0.73, 5.09);(327.03, 4.46, 8.59)
5,116288;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
5,617726;Right Hand Presence Physics;(0.39, 0.73, 5.40);(336.47, 358.00, 339.95)
5,617726;Left Hand Presence Physics;(0.08, 0.75, 5.39);(324.90, 354.52, 18.74)
5,617726;Right Hand Presence Physics;(0.39, 0.73, 5.40);(336.47, 358.00, 339.95)
5,617726;Left Hand Presence Physics;(0.08, 0.75, 5.39);(324.90, 354.52, 18.74)
5,617726;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
6,118689;Right Hand Presence Physics;(0.37, 0.74, 5.43);(336.08, 358.91, 339.43)
6,118689;Left Hand Presence Physics;(-0.11, 0.75, 5.47);(324.31, 331.37, 6.71)
6,118689;Right Hand Presence Physics;(0.37, 0.74, 5.43);(336.08, 358.91, 339.43)
6,118689;Left Hand Presence Physics;(-0.11, 0.75, 5.47);(324.31, 331.37, 6.71)
6,118689;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
6,494769;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);True;Right Hand
6,621181;Right Hand Presence Physics;(0.38, 0.74, 5.44);(336.05, 359.28, 339.39)
6,621181;Left Hand Presence Physics;(-0.13, 0.65, 5.59);(356.77, 342.26, 348.16)
6,621181;Right Hand Presence Physics;(0.38, 0.74, 5.44);(336.05, 359.28, 339.39)
6,621181;Left Hand Presence Physics;(-0.13, 0.65, 5.59);(356.77, 342.26, 348.16)
6,621181;Metal Cube;(-0.13, 0.65, 5.59);(356.60, 342.51, 348.30);True;Right Hand
7,134826;Right Hand Presence Physics;(0.37, 0.74, 5.43);(335.90, 359.00, 339.66)
7,134826;Left Hand Presence Physics;(-0.06, 0.79, 5.48);(318.19, 345.09, 328.61)
7,134826;Right Hand Presence Physics;(0.37, 0.74, 5.43);(335.90, 359.00, 339.66)
7,134826;Left Hand Presence Physics;(-0.06, 0.79, 5.48);(318.19, 345.09, 328.61)
7,134826;Metal Cube;(-0.06, 0.79, 5.48);(317.24, 346.41, 324.58);True;Right Hand
7,636247;Right Hand Presence Physics;(0.36, 0.73, 5.43);(336.38, 356.50, 340.84)
7,636247;Left Hand Presence Physics;(0.06, 0.77, 5.48);(342.61, 13.68, 13.80)
7,636247;Right Hand Presence Physics;(0.36, 0.73, 5.43);(336.38, 356.50, 340.84)
7,636247;Left Hand Presence Physics;(0.06, 0.77, 5.48);(342.61, 13.68, 13.80)
7,636247;Metal Cube;(0.06, 0.77, 5.48);(342.81, 14.23, 12.16);True;Right Hand
8,095656;Metal Cube;(0.22, 0.76, 5.45);(338.36, 26.48, 348.05);False;
8,095656;Metal Cube;(0.22, 0.76, 5.45);(338.36, 26.48, 348.05);True;Right Hand
8,137974;Right Hand Presence Physics;(0.32, 0.73, 5.42);(335.70, 350.35, 341.19)
8,137974;Left Hand Presence Physics;(0.22, 0.75, 5.45);(338.94, 26.72, 347.65)
8,137974;Right Hand Presence Physics;(0.32, 0.73, 5.42);(335.70, 350.35, 341.19)
8,137974;Left Hand Presence Physics;(0.22, 0.75, 5.45);(338.94, 26.72, 347.65)
8,137974;Metal Cube;(0.30, 0.73, 5.43);(336.58, 358.00, 342.47);True;Right Hand
8,638849;Right Hand Presence Physics;(0.35, 0.74, 5.43);(334.85, 355.57, 333.54)
8,638849;Left Hand Presence Physics;(0.16, 0.76, 5.47);(341.14, 16.46, 2.04)
8,638849;Right Hand Presence Physics;(0.35, 0.74, 5.43);(334.85, 355.57, 333.54)
8,638849;Left Hand Presence Physics;(0.16, 0.76, 5.47);(341.14, 16.46, 2.04)
8,638849;Metal Cube;(0.36, 0.74, 5.43);(334.97, 355.64, 333.15);True;Right Hand
9,140043;Right Hand Presence Physics;(0.39, 0.75, 5.42);(328.46, 9.20, 341.96)
9,140043;Left Hand Presence Physics;(0.13, 0.74, 5.47);(343.61, 15.12, 13.37)
9,140043;Right Hand Presence Physics;(0.39, 0.75, 5.42);(328.46, 9.20, 341.96)
9,140043;Left Hand Presence Physics;(0.13, 0.74, 5.47);(343.61, 15.12, 13.37)
9,140043;Metal Cube;(0.38, 0.76, 5.42);(325.47, 10.80, 348.55);True;Right Hand
9,641478;Right Hand Presence Physics;(0.45, 0.80, 5.34);(318.18, 49.58, 312.93)
9,641478;Left Hand Presence Physics;(0.13, 0.74, 5.47);(342.21, 15.24, 16.50)
9,641478;Right Hand Presence Physics;(0.45, 0.80, 5.34);(318.18, 49.58, 312.93)
9,641478;Left Hand Presence Physics;(0.13, 0.74, 5.47);(342.21, 15.24, 16.50)
9,641478;Metal Cube;(0.45, 0.80, 5.34);(318.73, 47.58, 314.05);True;Right Hand
10,08686;Metal Cube;(0.29, 0.73, 5.40);(330.87, 358.20, 349.05);False;
10,08686;Metal Cube;(0.29, 0.73, 5.40);(330.87, 358.20, 349.05);True;Right Hand
10,14234;Right Hand Presence Physics;(0.29, 0.73, 5.41);(332.02, 357.30, 349.02)
10,14234;Left Hand Presence Physics;(0.21, 0.73, 5.42);(343.24, 31.11, 8.42)
10,14234;Right Hand Presence Physics;(0.29, 0.73, 5.41);(332.02, 357.30, 349.02)
10,14234;Left Hand Presence Physics;(0.21, 0.73, 5.42);(343.24, 31.11, 8.42)
10,14234;Metal Cube;(0.21, 0.73, 5.42);(343.12, 30.97, 8.21);True;Right Hand
10,6439;Right Hand Presence Physics;(0.34, 0.74, 5.41);(330.17, 5.33, 341.31)
10,6439;Left Hand Presence Physics;(0.14, 0.76, 5.46);(343.25, 29.52, 43.57)
10,6439;Right Hand Presence Physics;(0.34, 0.74, 5.41);(330.17, 5.33, 341.31)
10,6439;Left Hand Presence Physics;(0.14, 0.76, 5.46);(343.25, 29.52, 43.57)
10,6439;Metal Cube;(0.13, 0.76, 5.46);(343.01, 29.36, 43.52);True;Right Hand
11,14508;Right Hand Presence Physics;(0.39, 0.76, 5.41);(329.90, 15.04, 333.91)
11,14508;Left Hand Presence Physics;(0.16, 0.69, 5.41);(38.84, 71.78, 322.47)
11,14508;Right Hand Presence Physics;(0.39, 0.76, 5.41);(329.90, 15.04, 333.91)
11,14508;Left Hand Presence Physics;(0.16, 0.69, 5.41);(38.84, 71.78, 322.47)
