Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
6,118361;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);True;Left Hand
8,763661;Metal Cube;(-0.12, 0.92, 5.53);(331.20, 348.44, 17.37);False;
11,20018;Right Hand Presence Physics;(-1.06, 0.78, 3.71);(328.55, 353.62, 334.74)
11,20018;Left Hand Presence Physics;(-1.72, 0.59, 3.92);(354.02, 330.79, 277.07)
11,20018;Right Controller;(-0.33, 0.79, 0.30);(322.13, 271.12, 331.17)
11,20018;Left Controller;(-0.29, 0.80, -0.10);(318.07, 265.69, 6.58)
11,70117;Right Hand Presence Physics;(-0.31, 0.79, 0.36);(324.57, 272.45, 327.84)
11,70117;Left Hand Presence Physics;(-0.29, 0.77, -0.06);(320.63, 269.48, 1.73)
11,70117;Right Controller;(-0.30, 0.79, 0.39);(324.58, 272.46, 327.72)
11,70117;Left Controller;(-0.28, 0.77, -0.03);(320.64, 269.49, 1.73)
11,70117;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
12,20267;Right Hand Presence Physics;(0.73, 0.79, 1.46);(324.55, 317.50, 328.34)
12,20267;Left Hand Presence Physics;(0.48, 0.79, 1.16);(320.97, 314.24, 0.97)
12,20267;Right Controller;(0.75, 0.79, 1.50);(324.57, 317.54, 328.29)
12,20267;Left Controller;(0.50, 0.79, 1.20);(321.02, 314.25, 0.90)
12,20267;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
12,70387;Right Hand Presence Physics;(0.74, 0.79, 2.71);(325.27, 317.87, 329.05)
12,70387;Left Hand Presence Physics;(0.49, 0.78, 2.41);(324.72, 316.19, 357.22)
12,70387;Right Controller;(0.74, 0.79, 2.74);(325.29, 317.90, 329.05)
