Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
0,5033447;Right Hand Presence Physics;(0.07, 0.25, -0.06);(1.11, 1.37, 352.43)
0,5033447;Left Hand Presence Physics;(-0.27, 1.15, -0.32);(9.38, 29.97, 321.90)
0,5033447;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0,5033447;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0,5033447;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,00549;Right Hand Presence Physics;(0.02, 1.38, 0.04);(19.11, 85.97, 317.71)
1,00549;Left Hand Presence Physics;(-0.02, 1.37, 0.00);(48.88, 1.34, 151.21)
1,00549;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
1,00549;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
1,00549;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1,507021;Right Hand Presence Physics;(-0.06, 1.39, 0.02);(335.18, 19.56, 332.77)
1,507021;Left Hand Presence Physics;(0.05, 1.38, -0.03);(356.12, 23.56, 26.52)
1,507021;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
1,507021;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
1,507021;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,017927;Right Hand Presence Physics;(-0.01, 0.07, 0.02);(18.54, 342.52, 275.50)
2,017927;Left Hand Presence Physics;(0.03, 0.03, -0.12);(29.35, 123.94, 255.58)
2,017927;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
2,017927;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
2,017927;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2,518742;Right Hand Presence Physics;(-0.02, 0.03, 0.02);(323.10, 125.24, 73.00)
2,518742;Left Hand Presence Physics;(0.04, 0.06, -0.07);(332.85, 108.32, 281.26)
2,518742;Right Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
2,518742;Left Controller;(0.00, 0.00, 0.00);(0.00, 0.00, 0.00)
2,518742;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,023941;Right Hand Presence Physics;(-0.14, 0.20, 0.16);(342.71, 107.48, 96.29)
3,023941;Left Hand Presence Physics;(-0.11, 0.25, 0.10);(286.45, 88.97, 278.75)
3,023941;Right Controller;(-0.40, 0.74, 0.58);(1.69, 301.54, 338.06)
3,023941;Left Controller;(-0.58, 0.82, 0.35);(338.00, 329.32, 17.14)
3,023941;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3,528256;Right Hand Presence Physics;(-0.31, 0.48, 0.34);(298.61, 72.69, 146.81)
3,528256;Left Hand Presence Physics;(-0.37, 0.50, 0.25);(306.08, 48.67, 339.25)
3,528256;Right Controller;(-0.24, 0.53, 0.30);(50.21, 224.79, 305.12)
3,528256;Left Controller;(-0.66, 0.76, 0.29);(351.25, 314.98, 5.07)
3,528256;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4,029853;Right Hand Presence Physics;(-0.17, 0.50, 0.37);(70.38, 306.49, 62.34)
4,029853;Left Hand Presence Physics;(-0.64, 0.74, 0.32);(357.94, 319.02, 355.27)
4,029853;Right Controller;(-0.18, 0.50, 0.37);(68.02, 316.72, 83.21)
4,029853;Left Controller;(-0.64, 0.74, 0.32);(358.05, 318.69, 354.83)
4,029853;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4,531765;Right Hand Presence Physics;(-0.21, 0.90, 0.58);(338.86, 320.10, 351.71)
4,531765;Left Hand Presence Physics;(-0.60, 0.77, 0.36);(347.99, 336.35, 30.93)
4,531765;Right Controller;(-0.21, 0.91, 0.59);(336.48, 326.94, 349.97)
4,531765;Left Controller;(-0.60, 0.78, 0.37);(347.40, 336.33, 30.23)
4,531765;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
5,033338;Right Hand Presence Physics;(-0.38, 0.79, 0.63);(335.67, 316.23, 337.33)
5,033338;Left Hand Presence Physics;(-0.57, 0.76, 0.43);(341.93, 345.97, 21.87)
5,033338;Right Controller;(-0.38, 0.79, 0.63);(335.13, 316.68, 336.95)
5,033338;Left Controller;(-0.57, 0.75, 0.43);(341.64, 346.18, 21.46)
5,033338;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
5,534896;Right Hand Presence Physics;(-0.42, 0.79, 1.64);(334.92, 320.01, 335.22)
5,534896;Left Hand Presence Physics;(-0.67, 0.74, 1.44);(349.77, 343.99, 17.36)
5,534896;Right Controller;(-0.42, 0.80, 1.64);(334.48, 320.44, 335.48)
5,534896;Left Controller;(-0.66, 0.74, 1.44);(349.74, 343.78, 16.71)
5,534896;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
6,036479;Right Hand Presence Physics;(-0.26, 0.71, 1.64);(342.29, 350.57, 335.92)
6,036479;Left Hand Presence Physics;(-0.58, 0.71, 1.55);(340.01, 8.02, 14.23)
6,036479;Right Controller;(-0.26, 0.71, 1.65);(342.50, 350.76, 336.17)
6,036479;Left Controller;(-0.58, 0.71, 1.56);(339.53, 7.99, 14.12)
6,036479;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
6,537781;Right Hand Presence Physics;(-0.05, 0.71, 2.80);(344.01, 341.11, 309.08)
6,537781;Left Hand Presence Physics;(-0.35, 0.70, 2.71);(341.91, 9.45, 13.34)
6,537781;Right Controller;(-0.04, 0.71, 2.83);(344.30, 340.01, 307.82)
6,537781;Left Controller;(-0.33, 0.71, 2.74);(341.95, 9.61, 13.53)
6,537781;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
7,038846;Right Hand Presence Physics;(-0.01, 0.73, 3.39);(342.52, 354.87, 332.51)
7,038846;Left Hand Presence Physics;(-0.31, 0.71, 3.31);(340.54, 11.78, 20.35)
7,038846;Right Controller;(0.00, 0.74, 3.42);(341.81, 356.25, 334.04)
7,038846;Left Controller;(-0.30, 0.71, 3.35);(340.51, 11.74, 20.25)
7,038846;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
7,540366;Right Hand Presence Physics;(0.26, 0.76, 4.21);(336.78, 356.74, 342.09)
7,540366;Left Hand Presence Physics;(-0.04, 0.71, 4.15);(340.48, 10.46, 19.58)
7,540366;Right Controller;(0.26, 0.76, 4.21);(336.82, 356.43, 342.34)
7,540366;Left Controller;(-0.04, 0.71, 4.15);(340.50, 10.45, 19.65)
7,540366;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
8,041635;Right Hand Presence Physics;(0.06, 0.75, 5.19);(338.42, 2.06, 335.64)
8,041635;Left Hand Presence Physics;(-0.27, 0.71, 5.12);(340.64, 11.26, 17.79)
8,041635;Right Controller;(0.05, 0.75, 5.22);(338.50, 2.26, 335.35)
8,041635;Left Controller;(-0.27, 0.71, 5.16);(340.65, 11.27, 17.76)
8,041635;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
8,542765;Right Hand Presence Physics;(0.03, 1.24, 6.18);(338.21, 1.87, 335.74)
8,542765;Left Hand Presence Physics;(-0.30, 1.19, 6.12);(340.92, 10.80, 19.14)
8,542765;Right Controller;(0.03, 1.24, 6.18);(338.24, 1.87, 335.71)
8,542765;Left Controller;(-0.30, 1.19, 6.12);(340.92, 10.79, 19.14)
8,542765;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
9,044293;Right Hand Presence Physics;(0.22, 1.26, 5.66);(339.19, 1.21, 336.02)
9,044293;Left Hand Presence Physics;(-0.10, 1.22, 5.60);(343.06, 10.41, 19.07)
