Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
0.5014117;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5014117;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5014117;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5014117;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5014117;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1.002486;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.002486;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.002486;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.002486;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.002486;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
1.50295;Right Hand Presence Physics;(-0.07, 1.31, 0.31);(0.00, 328.40, 0.00)
1.50295;Left Hand Presence Physics;(-0.24, 1.31, 0.20);(0.00, 328.40, 0.00)
1.50295;Right Controller;(-0.07, 1.31, 0.31);(0.00, 329.00, 0.00)
1.50295;Left Controller;(-0.24, 1.31, 0.21);(0.00, 329.00, 0.00)
1.50295;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2.003781;Right Hand Presence Physics;(0.13, 1.31, 0.29);(0.00, 5.20, 0.00)
2.003781;Left Hand Presence Physics;(-0.07, 1.31, 0.31);(0.00, 5.20, 0.00)
2.003781;Right Controller;(0.13, 1.31, 0.29);(0.00, 5.20, 0.00)
2.003781;Left Controller;(-0.07, 1.31, 0.31);(0.00, 5.20, 0.00)
2.003781;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
2.504701;Right Hand Presence Physics;(0.13, 1.31, 0.29);(0.00, 5.20, 0.00)
2.504701;Left Hand Presence Physics;(-0.07, 1.31, 0.31);(0.00, 5.20, 0.00)
2.504701;Right Controller;(0.13, 1.31, 0.29);(0.00, 5.20, 0.00)
2.504701;Left Controller;(-0.07, 1.31, 0.31);(0.00, 5.20, 0.00)
2.504701;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3.004836;Right Hand Presence Physics;(0.14, 1.31, 0.79);(0.00, 2.00, 0.00)
3.004836;Left Hand Presence Physics;(-0.06, 1.31, 0.79);(0.00, 2.00, 0.00)
3.004836;Right Controller;(0.14, 1.31, 0.79);(0.00, 2.00, 0.00)
3.004836;Left Controller;(-0.06, 1.31, 0.80);(0.00, 2.00, 0.00)
3.004836;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
3.505378;Right Hand Presence Physics;(0.17, 1.31, 1.65);(0.00, 2.00, 0.00)
3.505378;Left Hand Presence Physics;(-0.03, 1.31, 1.66);(0.00, 2.00, 0.00)
3.505378;Right Controller;(0.17, 1.31, 1.67);(0.00, 2.00, 0.00)
3.505378;Left Controller;(-0.03, 1.31, 1.68);(0.00, 2.00, 0.00)
3.505378;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4.006222;Right Hand Presence Physics;(0.20, 1.31, 2.45);(0.00, 2.00, 0.00)
4.006222;Left Hand Presence Physics;(0.00, 1.31, 2.45);(0.00, 1.80, 0.00)
4.006222;Right Controller;(0.20, 1.31, 2.45);(0.00, 2.00, 0.00)
4.006222;Left Controller;(0.00, 1.31, 2.45);(0.00, 1.80, 0.00)
4.006222;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
4.507595;Right Hand Presence Physics;(0.20, 1.31, 2.45);(0.00, 2.00, 0.00)
4.507595;Left Hand Presence Physics;(0.00, 1.31, 2.45);(0.00, 1.80, 0.00)
4.507595;Right Controller;(0.20, 1.31, 2.45);(0.00, 2.00, 0.00)
4.507595;Left Controller;(0.00, 1.31, 2.45);(0.00, 1.80, 0.00)
4.507595;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
5.007806;Right Hand Presence Physics;(0.20, 1.31, 2.45);(0.00, 2.00, 0.00)
5.007806;Left Hand Presence Physics;(0.00, 1.31, 2.45);(2.20, 349.80, 0.00)
5.007806;Right Controller;(0.20, 1.31, 2.45);(0.00, 2.00, 0.00)
5.007806;Left Controller;(0.00, 1.31, 2.45);(2.20, 349.80, 0.00)
5.007806;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
5.509109;Right Hand Presence Physics;(0.20, 1.31, 2.45);(0.00, 2.00, 0.00)
5.509109;Left Hand Presence Physics;(0.00, 1.31, 2.45);(297.00, 346.60, 0.00)
5.509109;Right Controller;(0.20, 1.31, 2.45);(0.00, 2.00, 0.00)
5.509109;Left Controller;(0.00, 1.31, 2.45);(295.60, 346.60, 0.00)
5.509109;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
6.009665;Right Hand Presence Physics;(0.20, 1.31, 2.45);(0.00, 2.00, 0.00)
6.009665;Left Hand Presence Physics;(0.00, 1.31, 2.45);(279.40, 161.40, 180.00)
6.009665;Right Controller;(0.20, 1.31, 2.45);(0.00, 2.00, 0.00)
6.009665;Left Controller;(0.00, 1.31, 2.45);(279.40, 161.40, 180.00)
6.009665;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
6.510816;Right Hand Presence Physics;(0.20, 1.31, 2.45);(0.00, 2.00, 0.00)
