Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False;
0.5014409;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5014409;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
0.5014409;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5014409;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
0.5014409;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
1.001598;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001598;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.001598;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001598;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.001598;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
1.501657;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.501657;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
1.501657;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.501657;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
1.501657;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
2.0034;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.0034;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
2.0034;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.0034;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.0034;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
2.504709;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.504709;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
2.504709;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.504709;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
2.504709;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
3.006036;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
3.006036;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
3.006036;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
3.006036;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
3.006036;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
3.512078;Right Hand Presence Physics;(0.06, 1.31, 0.78);(0.00, 1.40, 0.00)
3.512078;Left Hand Presence Physics;(-0.14, 1.31, 0.78);(0.00, 1.40, 0.00)
3.512078;Right Controller;(0.06, 1.31, 0.78);(0.00, 1.40, 0.00)
3.512078;Left Controller;(-0.14, 1.31, 0.78);(0.00, 1.40, 0.00)
3.512078;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
